,Games,Accuracy_Passes,Shots_Total,Goals_Total,Weight_kg,Height_cm,Rating
362,32.0,84.0,14.0,0.0,74.0,184.0,2
363,36.0,85.0,50.0,5.0,74.0,182.0,2
364,10.0,72.0,17.0,4.0,74.0,180.0,2
365,1.0,73.0,1.0,0.0,82.0,184.0,1
366,26.0,83.0,13.0,2.0,78.0,184.0,1
367,31.0,79.0,31.0,7.0,80.0,190.0,2
368,35.0,81.0,85.0,10.0,73.0,181.0,1
369,31.0,81.0,5.0,0.0,61.0,176.0,1
370,8.0,75.0,6.0,0.0,66.0,173.0,1
371,5.0,87.0,8.0,2.0,67.0,175.0,1
372,12.0,48.0,14.0,3.0,72.0,180.0,1
373,3.0,38.0,0.0,0.0,75.0,180.0,0
374,18.0,68.0,7.0,0.0,80.0,182.0,1
375,1.0,93.0,0.0,0.0,80.0,184.0,0
376,31.0,84.0,20.0,0.0,65.0,176.0,1
377,28.0,84.0,27.0,3.0,75.0,179.0,1
378,28.0,83.0,5.0,1.0,95.0,184.0,1
379,37.0,85.0,46.0,5.0,75.0,178.0,2
380,37.0,71.0,82.0,13.0,77.0,180.0,2
381,36.0,73.0,17.0,1.0,82.0,187.0,1
382,34.0,82.0,41.0,3.0,76.0,182.0,2
383,29.0,78.0,11.0,2.0,73.0,175.0,1
384,6.0,74.0,1.0,0.0,71.0,178.0,0
385,28.0,72.0,69.0,12.0,93.0,189.0,2
386,35.0,75.0,48.0,11.0,69.0,172.0,1
387,26.0,74.0,10.0,2.0,80.0,185.0,2
388,1.0,88.0,0.0,0.0,64.0,179.0,0
389,6.0,45.0,1.0,0.0,86.0,184.0,1
390,35.0,82.0,41.0,7.0,65.0,170.0,1
391,34.0,74.0,28.0,1.0,89.0,189.0,2
392,29.0,60.0,16.0,1.0,73.0,175.0,1
393,23.0,69.0,15.0,1.0,71.0,184.0,1
394,26.0,74.0,13.0,0.0,78.0,182.0,2
395,33.0,75.0,10.0,1.0,76.0,177.0,1
396,35.0,81.0,42.0,3.0,79.0,181.0,1
397,31.0,61.0,9.0,0.0,75.0,175.0,1
398,27.0,77.0,10.0,1.0,77.0,182.0,1
399,25.0,79.0,19.0,2.0,70.0,180.0,1
400,36.0,80.0,20.0,1.0,81.0,180.0,2
401,36.0,61.0,98.0,10.0,83.0,184.0,1
402,23.0,74.0,12.0,2.0,68.0,170.0,0
403,38.0,66.0,67.0,5.0,81.0,186.0,1
404,35.0,53.0,0.0,0.0,89.0,196.0,1
405,11.0,80.0,1.0,0.0,63.0,167.0,0
406,17.0,76.0,3.0,1.0,83.0,191.0,1
407,31.0,79.0,8.0,1.0,62.0,171.0,2
408,36.0,76.0,34.0,0.0,74.0,182.0,2
409,25.0,66.0,9.0,1.0,72.0,185.0,1
410,1.0,40.0,0.0,0.0,69.0,178.0,0
411,7.0,65.0,5.0,0.0,74.0,177.0,0
412,2.0,50.0,0.0,0.0,75.0,187.0,1
413,16.0,77.0,18.0,1.0,69.0,181.0,2
414,10.0,76.0,8.0,1.0,83.0,188.0,2
415,25.0,72.0,15.0,1.0,73.0,178.0,1
416,16.0,41.0,0.0,0.0,76.0,185.0,0
417,28.0,68.0,23.0,1.0,65.0,170.0,0
418,26.0,76.0,21.0,2.0,71.0,176.0,1
419,7.0,64.0,1.0,0.0,90.0,189.0,1
420,7.0,56.0,3.0,0.0,69.0,165.0,0
421,3.0,76.0,0.0,0.0,83.0,185.0,0
422,12.0,83.0,2.0,0.0,83.0,193.0,1
423,2.0,54.0,1.0,0.0,77.0,185.0,1
424,12.0,75.0,4.0,0.0,74.0,187.0,1
425,17.0,72.0,5.0,0.0,76.0,182.0,0
426,35.0,78.0,117.0,13.0,68.0,169.0,2
427,19.0,71.0,8.0,0.0,78.0,183.0,1
428,5.0,57.0,1.0,0.0,76.0,182.0,1
429,22.0,75.0,13.0,0.0,74.0,175.0,1
430,19.0,72.0,16.0,2.0,65.0,180.0,1
431,20.0,57.0,23.0,3.0,83.0,190.0,1
432,13.0,74.0,15.0,0.0,79.0,186.0,0
433,26.0,84.0,14.0,1.0,69.0,176.0,1
434,33.0,74.0,32.0,2.0,67.0,182.0,1
435,27.0,75.0,22.0,1.0,68.0,168.0,1
436,25.0,79.0,3.0,0.0,80.0,185.0,1
437,6.0,81.0,9.0,2.0,70.0,177.0,2
438,20.0,64.0,30.0,5.0,80.0,192.0,1
439,1.0,81.0,1.0,0.0,68.0,178.0,1
440,1.0,50.0,0.0,0.0,75.0,185.0,1
441,16.0,75.0,3.0,1.0,83.0,185.0,1
442,36.0,56.0,0.0,0.0,81.0,186.0,1
443,24.0,65.0,31.0,2.0,76.0,179.0,0
444,7.0,81.0,7.0,0.0,74.0,182.0,2
445,36.0,47.0,0.0,0.0,76.0,187.0,1
446,17.0,72.0,6.0,0.0,87.0,191.0,1
447,29.0,66.0,7.0,1.0,80.0,187.0,1
448,15.0,65.0,6.0,0.0,70.0,173.0,1
449,31.0,70.0,44.0,11.0,68.0,170.0,1
450,30.0,86.0,19.0,3.0,84.0,188.0,1
451,1.0,84.0,3.0,1.0,82.0,180.0,2
452,18.0,80.0,7.0,2.0,61.0,173.0,1
453,20.0,79.0,9.0,2.0,77.0,184.0,1
454,8.0,82.0,3.0,1.0,71.0,177.0,1
455,23.0,75.0,10.0,3.0,75.0,184.0,2
456,22.0,77.0,9.0,1.0,91.0,181.0,1
457,28.0,80.0,22.0,0.0,69.0,175.0,1
458,29.0,73.0,51.0,5.0,72.0,177.0,1
459,18.0,61.0,3.0,0.0,74.0,180.0,1
460,31.0,73.0,50.0,12.0,70.0,172.0,1
461,21.0,81.0,11.0,0.0,90.0,190.0,1
462,19.0,78.0,24.0,0.0,66.0,171.0,1
463,6.0,55.0,3.0,0.0,62.0,180.0,0
464,4.0,66.0,0.0,0.0,81.0,184.0,1
465,25.0,66.0,45.0,3.0,82.0,190.0,1
466,6.0,65.0,0.0,0.0,74.0,185.0,1
467,10.0,80.0,2.0,0.0,78.0,186.0,1
468,1.0,32.0,0.0,0.0,79.0,187.0,0
469,12.0,74.0,16.0,2.0,79.0,188.0,1
470,25.0,67.0,5.0,0.0,71.0,176.0,1
471,20.0,70.0,11.0,2.0,76.0,179.0,1
472,2.0,70.0,1.0,0.0,85.0,192.0,0
473,7.0,63.0,0.0,0.0,68.0,171.0,0
474,11.0,73.0,2.0,0.0,79.0,182.0,1
475,8.0,68.0,5.0,0.0,75.0,184.0,1
476,1.0,100.0,0.0,0.0,83.0,185.0,0
477,27.0,77.0,11.0,4.0,90.0,189.0,2
478,21.0,87.0,3.0,0.0,75.0,177.0,1
479,18.0,71.0,6.0,1.0,71.0,168.0,1
480,2.0,79.0,0.0,0.0,80.0,184.0,1
481,4.0,69.0,0.0,0.0,80.0,191.0,0
482,2.0,90.0,3.0,0.0,70.0,171.0,0
483,28.0,71.0,39.0,7.0,80.0,190.0,1
484,23.0,75.0,19.0,4.0,79.0,185.0,1
485,28.0,75.0,42.0,8.0,65.0,175.0,1
486,14.0,72.0,20.0,3.0,68.0,175.0,1
487,7.0,64.0,9.0,1.0,73.0,175.0,0
488,30.0,76.0,29.0,3.0,64.0,171.0,1
