"","Age","Position","Games","Team","Total_Passes","Tackled_Intercept","Duels_Won","Goals_Total","Rating","Weight_kg","Height_cm"
"288",35,"Defender",16,"Leganes",399,38,82,1,"High Rating",83,192
"290",34,"Attacker",21,"Sevilla",303,1,50,6,"High Rating",79,183
"291",36,"Midfielder",28,"Las Palmas",594,18,127,10,"High Rating",77,186
"292",33,"Midfielder",11,"Villarreal",98,6,21,0,"Low Rating",74,179
"293",34,"Defender",13,"Valencia",284,32,41,0,"Average Rating",85,186
"294",34,"Attacker",30,"Sevilla",712,10,202,7,"High Rating",82,187
"295",31,"Defender",17,"Real Betis",442,34,78,0,"Average Rating",78,181
"296",27,"Midfielder",3,"Granada CF",17,0,7,0,"Low Rating",75,181
"297",32,"Defender",5,"Sevilla",185,12,19,0,"High Rating",75,185
"298",26,"Defender",30,"Espanyol",806,50,155,0,"Average Rating",72,180
"300",41,"Defender",22,"Las Palmas",975,37,81,1,"Average Rating",80,183
"301",32,"Midfielder",10,"Deportivo La Coruna",110,3,40,2,"Low Rating",72,173
"302",32,"Attacker",3,"Las Palmas",8,0,2,0,"Low Rating",68,173
"303",27,"Midfielder",23,"Villarreal",518,19,87,0,"High Rating",82,190
"304",30,"Midfielder",16,"Atletico Madrid",318,19,54,1,"High Rating",77,185
"305",28,"Defender",17,"Sevilla",724,25,82,0,"High Rating",81,186
"306",29,"Defender",33,"Athletic Club",1343,63,170,2,"High Rating",86,189
"308",30,"Defender",23,"Real Madrid",975,38,93,1,"High Rating",81,191
"309",31,"Midfielder",25,"Real Madrid",907,43,194,4,"High Rating",84,185
"310",27,"Midfielder",35,"Granada CF",846,31,187,5,"Average Rating",71,178
"312",29,"Midfielder",27,"Real Madrid",944,21,166,1,"High Rating",78,177
"313",30,"Defender",17,"Barcelona",736,20,75,0,"Average Rating",74,178
"314",33,"Midfielder",11,"Granada CF",318,11,75,1,"High Rating",66,171
"316",29,"Midfielder",6,"Malaga",192,7,27,0,"Average Rating",72,180
"317",25,"Defender",2,"Granada CF",74,7,12,0,"High Rating",73,175
"318",29,"Defender",21,"Malaga",524,39,98,0,"Average Rating",73,179
"319",27,"Midfielder",25,"Espanyol",629,18,76,0,"Average Rating",77,184
"320",28,"Midfielder",7,"Celta Vigo",57,1,6,1,"Low Rating",73,175
"321",27,"Attacker",2,"Villarreal",1,0,2,0,"Low Rating",76,183
"323",34,"Defender",26,"Barcelona",1310,30,70,1,"High Rating",68,170
"324",31,"Defender",32,"Barcelona",1384,48,160,0,"High Rating",68,178
"325",35,"Midfielder",33,"Barcelona",1971,47,178,0,"High Rating",76,189
"326",31,"Defender",23,"Real Madrid",1050,45,133,0,"High Rating",73,173
"327",33,"Defender",28,"Real Madrid",1121,46,126,2,"High Rating",76,180
"328",28,"Defender",15,"Real Sociedad",404,11,56,0,"Low Rating",66,176
"329",27,"Attacker",23,"Real Madrid",494,10,70,3,"High Rating",76,182
"330",27,"Midfielder",30,"Real Betis",1123,57,303,2,"High Rating",70,179
"331",33,"Midfielder",29,"Real Madrid",1910,31,147,3,"High Rating",76,183
"332",38,"Midfielder",25,"Real Madrid",1217,43,119,1,"High Rating",66,172
"333",32,"Midfielder",33,"Real Madrid",526,9,119,2,"High Rating",70,173
"334",36,"Attacker",29,"Real Madrid",519,3,62,11,"High Rating",81,185
"335",30,"Attacker",8,"Real Madrid",9,0,8,1,"Low Rating",76,180
"336",32,"Attacker",19,"Valencia",307,4,70,5,"High Rating",77,182
"337",27,"Midfielder",32,"Malaga",1072,40,147,6,"Average Rating",67,178
"338",31,"Midfielder",34,"Sevilla",772,25,120,8,"Average Rating",70,174
"339",29,"Defender",30,"Celta Vigo",1003,62,135,0,"Average Rating",70,175
"340",29,"Defender",9,"Real Sociedad",177,12,19,0,"Low Rating",71,180
"342",34,"Midfielder",30,"Sevilla",999,19,209,6,"High Rating",80,185
"343",34,"Defender",29,"Deportivo La Coruna",898,53,94,1,"High Rating",80,185
"344",34,"Midfielder",31,"Las Palmas",1691,10,190,7,"High Rating",66,171
"345",30,"Defender",25,"Leganes",665,67,152,1,"High Rating",78,180
"346",30,"Attacker",37,"Deportivo La Coruna",290,4,151,12,"Average Rating",78,180
"347",27,"Attacker",3,"Sevilla",6,0,2,1,"Average Rating",72,185
"348",30,"Defender",5,"Celta Vigo",112,10,21,1,"Low Rating",77,175
"349",28,"Midfielder",2,"Las Palmas",2,1,2,0,"Low Rating",70,180
"350",33,"Midfielder",34,"Real Sociedad",1975,118,236,1,"High Rating",75,179
"351",26,"Midfielder",4,"Real Sociedad",133,1,16,0,"Average Rating",73,181
"352",26,"Attacker",38,"Real Sociedad",792,22,155,2,"Average Rating",78,181
"353",28,"Attacker",30,"Malaga",493,14,103,14,"High Rating",71,175
"354",36,"Defender",22,"Eibar",541,48,118,0,"Average Rating",76,178
"355",31,"Midfielder",36,"Sporting Gijon",1125,71,267,2,"Average Rating",74,183
"357",32,"Defender",32,"Atletico Madrid",760,68,117,1,"High Rating",81,187
"358",29,"Midfielder",33,"Atletico Madrid",927,58,247,4,"High Rating",76,184
"359",31,"Midfielder",36,"Atletico Madrid",2117,49,172,4,"High Rating",77,176
"360",28,"Attacker",31,"Atletico Madrid",353,11,100,4,"Average Rating",68,171
"361",32,"Attacker",36,"Atletico Madrid",1005,18,146,16,"High Rating",73,176
"362",31,"Attacker",26,"Real Madrid",282,3,94,15,"High Rating",84,190
"363",28,"Midfielder",32,"Alaves",1522,86,213,0,"High Rating",74,184
"364",34,"Midfielder",36,"Valencia",1905,41,247,5,"High Rating",74,182
"365",38,"Attacker",10,"Villarreal",173,2,41,4,"High Rating",74,180
"366",31,"Defender",1,"Valencia",25,4,4,0,"Average Rating",82,184
"367",32,"Defender",26,"Real Betis",867,60,113,2,"High Rating",78,184
"368",35,"Midfielder",31,"Sevilla",785,33,123,7,"High Rating",80,190
"369",30,"Midfielder",35,"Atletico Madrid",686,14,158,10,"Average Rating",73,181
"370",32,"Defender",31,"Alaves",968,45,115,0,"Average Rating",61,176
"371",27,"Midfielder",8,"Real Betis",65,2,26,0,"Low Rating",66,173
"372",30,"Midfielder",5,"Leganes",40,1,21,2,"High Rating",67,175
"373",28,"Attacker",12,"Real Sociedad",40,0,26,3,"Average Rating",72,180
"374",28,"Defender",3,"Espanyol",12,8,3,0,"Low Rating",75,180
"375",29,"Defender",18,"Granada CF",508,51,79,0,"Average Rating",80,182
"377",32,"Midfielder",31,"Real Sociedad",511,7,55,0,"Average Rating",65,176
"378",42,"Midfielder",28,"Real Betis",637,13,92,3,"Average Rating",75,179
"379",34,"Defender",28,"Villarreal",1111,61,96,1,"High Rating",95,184
"380",32,"Midfielder",37,"Villarreal",1631,28,178,5,"High Rating",75,178
"381",31,"Attacker",37,"Espanyol",762,30,243,13,"High Rating",77,180
"382",32,"Defender",36,"Real Betis",1020,100,200,1,"High Rating",82,187
