Games,Accuracy_Passes,Key_Passes,Total_Passes,Shots_Total,Dribbles_Attempts,Dribbles_Success,Tackled_Intercept,Goals_Total,Yellow_Cards,Weight_kg,Height_cm,Rating,Position
31,79,21,1064,8,35,21,43,1,13,62,171,7.038709,Defender
35,82,40,862,41,130,81,15,7,5,65,170,6.934285,Attacker
34,74,7,1058,28,18,13,72,1,7,89,189,7.088235,Defender
29,60,27,383,16,135,65,51,1,3,73,175,6.555172,Attacker
22,65,1,435,9,8,6,64,0,4,81,186,6.7,Defender
25,66,2,481,9,1,0,54,1,8,72,185,6.728,Defender
1,40,0,2,0,1,1,0,0,0,69,178,6.2,Attacker
23,74,12,401,12,24,10,8,2,2,68,170,6.426086,Midfielder
38,66,39,526,67,113,47,14,5,4,81,186,6.663157,Attacker
25,72,16,417,15,34,14,14,1,7,73,178,6.5625,Midfielder
28,68,6,159,23,43,17,14,1,3,65,170,6.351851,Defender
24,69,12,266,26,19,7,8,7,8,79,186,6.841666,Attacker
21,76,5,625,11,21,16,30,3,3,80,188,6.905,Defender
26,76,35,672,21,58,35,11,2,5,71,176,6.676923,Midfielder
27,77,4,968,11,5,4,58,4,7,90,189,7.014814,Defender
23,73,17,448,15,62,36,19,2,6,86,189,6.491304,Defender
32,73,47,864,41,25,12,23,3,3,74,181,6.8875,Midfielder
1,91,0,31,0,0,0,1,0,0,71,174,6.5,Midfielder
18,71,11,91,6,18,8,1,1,2,71,168,6.671428,Attacker
17,78,3,460,5,0,0,32,1,7,84,188,6.817647,Defender
13,71,8,118,19,12,4,1,1,1,66,174,6.707692,Attacker
23,75,14,197,19,7,2,4,4,8,79,185,6.673913,Attacker
30,76,14,481,29,97,57,10,3,1,64,171,6.675862,Attacker
11,60,6,227,3,10,3,36,0,3,64,175,6.541666,Defender
15,76,0,394,1,8,4,22,0,2,79,184,6.92,Defender
35,71,24,723,22,120,63,57,1,6,74,182,6.76,Defender
17,68,7,78,11,8,4,1,2,0,70,174,6.828571,Attacker
4,69,1,68,0,0,0,5,0,4,80,191,6.125,Defender
5,48,2,20,3,5,2,0,0,0,69,176,6.66,Attacker
28,71,12,355,39,18,5,3,7,4,80,190,6.759259,Attacker
16,74,4,399,9,9,7,38,1,4,83,192,6.98125,Defender
21,66,22,303,58,22,11,1,6,4,79,183,6.961904,Attacker
28,75,21,594,77,13,6,18,10,11,77,186,6.921428,Midfielder
11,59,3,98,7,13,2,6,0,1,74,179,6.36,Midfielder
13,74,2,284,2,4,2,32,0,4,85,186,6.683333,Defender
30,74,32,712,54,60,28,10,7,8,82,187,7.053333,Attacker
17,75,1,442,3,13,9,34,0,2,78,181,6.688235,Defender
3,85,0,17,6,4,3,0,0,0,75,181,6.6,Midfielder
5,87,1,185,3,5,4,12,0,1,75,185,6.96,Defender
30,77,21,806,3,63,40,50,0,5,72,180,6.703333,Defender
22,84,2,975,11,4,4,37,1,6,80,183,6.877272,Defender
10,65,5,110,11,23,15,3,2,0,72,173,6.58,Midfielder
3,66,1,8,0,1,1,0,0,0,68,173,6.366666,Attacker
23,89,2,518,8,6,3,19,0,1,82,190,6.955555,Midfielder
16,83,11,318,8,19,14,19,1,5,77,185,6.926666,Midfielder
17,82,2,724,1,4,3,25,0,2,81,186,7.017647,Defender
33,82,6,1343,17,11,7,63,2,10,86,189,7.10909,Defender
23,84,8,975,12,7,4,38,1,1,81,191,7.117391,Defender
25,83,10,907,15,12,7,43,4,9,84,185,7.154166,Midfielder
35,73,53,846,74,121,75,31,5,10,71,178,6.705714,Midfielder
27,90,17,944,14,74,60,21,1,2,78,177,7.184615,Midfielder
17,86,10,736,5,26,15,20,0,3,74,178,6.87647,Defender
11,81,7,318,17,19,11,11,1,7,66,171,6.90909,Midfielder
6,82,7,192,2,10,8,7,0,1,72,180,6.75,Midfielder
2,81,2,74,1,2,1,7,0,1,73,175,6.9,Defender
21,70,11,524,11,9,3,39,0,6,73,179,6.709523,Defender
25,78,7,629,13,23,16,18,0,4,77,184,6.724,Midfielder
7,64,6,57,9,12,2,1,1,0,73,175,6.5,Midfielder
2,25,0,1,0,0,0,0,0,0,76,183,6.3,Attacker
26,87,24,1310,6,15,8,30,1,4,68,170,6.903846,Defender
32,87,35,1384,16,54,39,48,0,5,68,178,7,Defender
33,88,14,1971,4,21,18,47,0,9,76,189,7.018181,Midfielder
23,86,36,1050,9,51,23,45,0,11,73,173,6.986956,Defender
28,90,9,1121,8,18,7,46,2,5,76,180,6.985714,Defender
15,80,16,404,1,39,18,11,0,0,66,176,6.433333,Defender
23,86,23,494,26,42,24,10,3,0,76,182,6.936363,Attacker
30,79,39,1123,37,120,81,57,2,8,70,179,7.163333,Midfielder
29,91,81,1910,33,35,28,31,3,6,76,183,7.710344,Midfielder
25,88,33,1217,20,56,42,43,1,2,66,172,7.192,Midfielder
