,Position,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Dribbles_Attempts,Fouls_Drawn,Fouls_Committed,Tackled_Intercept,Duels_Won,Duels_Total,Goals_Total,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Weight_kg
399,1,1572,79,15,447,5,72,11,18,15,124,235,2,1,1,0,0,70
400,2,3185,80,23,1401,3,16,31,52,76,182,323,1,2,9,1,0,81
401,2,2884,61,32,631,40,43,82,95,32,318,646,10,2,11,0,0,83
402,2,1163,74,12,401,6,24,9,24,8,46,143,2,0,2,0,0,68
403,0,2799,66,39,526,30,113,55,30,14,169,394,5,1,4,0,0,81
405,2,299,80,0,80,0,8,11,2,1,22,37,0,0,0,0,0,63
406,2,1410,76,0,139,0,1,2,4,14,21,36,1,1,6,0,0,83
407,1,2681,79,21,1064,3,35,44,42,43,178,283,1,2,13,0,1,62
408,1,3240,76,24,1162,11,36,16,44,70,190,338,0,2,6,0,0,74
409,1,2189,66,2,481,4,1,13,41,54,110,203,1,1,8,0,0,72
410,0,16,40,0,2,0,1,0,0,0,1,4,0,0,0,0,0,69
411,2,201,65,2,37,1,7,6,5,2,16,42,0,0,0,0,0,74
413,2,1272,77,10,602,7,16,7,10,23,57,103,1,2,2,0,0,69
414,1,789,76,2,264,1,1,6,9,10,41,62,1,2,4,0,0,83
415,2,1628,72,16,417,3,34,22,55,14,101,240,1,0,7,0,0,73
417,1,1049,68,6,159,6,43,14,20,14,63,177,1,0,3,0,0,65
418,2,1878,76,35,672,6,58,10,44,11,87,233,2,1,5,0,0,71
419,2,110,64,1,24,0,1,0,6,2,8,23,0,0,1,0,0,90
420,2,376,56,0,114,0,1,4,5,8,17,36,0,0,1,0,1,69
421,0,171,76,1,29,0,4,4,10,0,13,36,0,0,1,0,0,83
422,1,1000,83,0,333,1,1,4,13,33,44,78,0,1,1,0,0,83
423,1,154,54,0,24,0,0,1,1,3,6,10,0,1,1,0,0,77
424,2,953,75,7,337,1,7,6,12,18,46,104,0,1,7,0,0,74
425,2,858,72,3,234,2,3,11,22,15,41,89,0,0,6,0,0,76
426,0,2783,78,27,536,42,34,38,9,10,66,166,13,2,3,0,0,68
427,2,1232,71,6,307,6,8,12,43,32,88,191,0,1,8,0,0,78
428,2,381,57,1,78,0,8,7,5,5,27,45,0,0,0,0,0,76
429,1,1791,75,8,526,3,5,18,44,59,121,230,0,1,10,0,0,74
430,2,1094,72,17,508,9,7,13,4,9,36,89,2,1,2,0,0,65
431,0,683,57,9,132,9,26,4,11,11,25,82,3,0,2,0,0,83
432,2,665,74,5,201,3,16,17,11,2,52,107,0,0,1,0,0,79
433,2,1181,84,16,615,7,29,21,16,9,57,131,1,1,1,0,0,69
434,2,2050,74,36,597,15,91,78,39,47,175,389,2,1,2,0,0,67
435,1,2387,75,48,612,4,48,31,23,29,111,215,1,1,4,0,0,68
436,1,1903,79,3,951,1,5,3,20,58,94,170,0,1,4,0,2,80
437,1,475,81,5,257,4,10,5,7,8,19,37,2,2,0,0,0,70
438,0,892,64,6,201,15,12,15,19,2,92,172,5,1,7,0,0,80
439,2,46,81,1,17,0,2,0,2,0,5,8,0,1,0,0,0,68
441,1,1331,75,3,420,1,6,6,19,41,67,118,1,2,9,0,0,83
443,2,1250,65,21,268,9,74,23,10,16,68,190,2,0,3,0,0,76
